array_size= 262144 	STRIDE= 8 	nano= 37435048.000000 	 numberOfAccesses= 52461568 	AMAT= 0.713571
array_size= 262144 	STRIDE= 16 	nano= 38840310.000000 	 numberOfAccesses= 52445184 	AMAT= 0.740589
array_size= 262144 	STRIDE= 32 	nano= 57968861.000000 	 numberOfAccesses= 52436992 	AMAT= 1.105496
array_size= 262144 	STRIDE= 64 	nano= 115037337.000000 	 numberOfAccesses= 52432896 	AMAT= 2.193992
array_size= 262144 	STRIDE= 128 	nano= 115779927.000000 	 numberOfAccesses= 52430848 	AMAT= 2.208241
array_size= 262144 	STRIDE= 256 	nano= 116472095.000000 	 numberOfAccesses= 52429824 	AMAT= 2.221486
array_size= 262144 	STRIDE= 512 	nano= 109756888.000000 	 numberOfAccesses= 52429312 	AMAT= 2.093426
array_size= 262144 	STRIDE= 1024 	nano= 184644555.000000 	 numberOfAccesses= 52429056 	AMAT= 3.521798
array_size= 262144 	STRIDE= 2048 	nano= 251286656.000000 	 numberOfAccesses= 52428928 	AMAT= 4.792901
array_size= 262144 	STRIDE= 4096 	nano= 358320606.000000 	 numberOfAccesses= 52428864 	AMAT= 6.834415
array_size= 262144 	STRIDE= 8192 	nano= 299493467.000000 	 numberOfAccesses= 52428832 	AMAT= 5.712381
array_size= 262144 	STRIDE= 16384 	nano= 233343997.000000 	 numberOfAccesses= 52428816 	AMAT= 4.450682
array_size= 262144 	STRIDE= 32768 	nano= 61745416.000000 	 numberOfAccesses= 52428808 	AMAT= 1.177700
array_size= 262144 	STRIDE= 65536 	nano= 51681890.000000 	 numberOfAccesses= 52428804 	AMAT= 0.985754
array_size= 262144 	STRIDE= 131072 	nano= 56326127.000000 	 numberOfAccesses= 52428802 	AMAT= 1.074336
array_size= 524288 	STRIDE= 1 	nano= 75165375.000000 	 numberOfAccesses= 105381888 	AMAT= 0.713267
array_size= 524288 	STRIDE= 2 	nano= 75002296.000000 	 numberOfAccesses= 105119744 	AMAT= 0.713494
array_size= 524288 	STRIDE= 4 	nano= 74944537.000000 	 numberOfAccesses= 104988672 	AMAT= 0.713835
array_size= 524288 	STRIDE= 8 	nano= 74985705.000000 	 numberOfAccesses= 104923136 	AMAT= 0.714673
array_size= 524288 	STRIDE= 16 	nano= 80665587.000000 	 numberOfAccesses= 104890368 	AMAT= 0.769047
array_size= 524288 	STRIDE= 32 	nano= 132963572.000000 	 numberOfAccesses= 104873984 	AMAT= 1.267841
array_size= 524288 	STRIDE= 64 	nano= 262911728.000000 	 numberOfAccesses= 104865792 	AMAT= 2.507126
array_size= 524288 	STRIDE= 128 	nano= 276768236.000000 	 numberOfAccesses= 104861696 	AMAT= 2.639364
array_size= 524288 	STRIDE= 256 	nano= 284703398.000000 	 numberOfAccesses= 104859648 	AMAT= 2.715090
array_size= 524288 	STRIDE= 512 	nano= 252484592.000000 	 numberOfAccesses= 104858624 	AMAT= 2.407857
array_size= 524288 	STRIDE= 1024 	nano= 396233821.000000 	 numberOfAccesses= 104858112 	AMAT= 3.778762
array_size= 524288 	STRIDE= 2048 	nano= 519572261.000000 	 numberOfAccesses= 104857856 	AMAT= 4.955015
array_size= 524288 	STRIDE= 4096 	nano= 817175753.000000 	 numberOfAccesses= 104857728 	AMAT= 7.793186
array_size= 524288 	STRIDE= 8192 	nano= 746981535.000000 	 numberOfAccesses= 104857664 	AMAT= 7.123767
array_size= 524288 	STRIDE= 16384 	nano= 762738423.000000 	 numberOfAccesses= 104857632 	AMAT= 7.274038
array_size= 524288 	STRIDE= 32768 	nano= 520632837.000000 	 numberOfAccesses= 104857616 	AMAT= 4.965141
array_size= 524288 	STRIDE= 65536 	nano= 194177160.000000 	 numberOfAccesses= 104857608 	AMAT= 1.851818
array_size= 524288 	STRIDE= 131072 	nano= 103585271.000000 	 numberOfAccesses= 104857604 	AMAT= 0.987866
array_size= 524288 	STRIDE= 262144 	nano= 112774350.000000 	 numberOfAccesses= 104857602 	AMAT= 1.075500
array_size= 1048576 	STRIDE= 1 	nano= 150586632.000000 	 numberOfAccesses= 210763776 	AMAT= 0.714481
array_size= 1048576 	STRIDE= 2 	nano= 150568007.000000 	 numberOfAccesses= 210239488 	AMAT= 0.716174
array_size= 1048576 	STRIDE= 4 	nano= 149898400.000000 	 numberOfAccesses= 209977344 	AMAT= 0.713879
array_size= 1048576 	STRIDE= 8 	nano= 150000102.000000 	 numberOfAccesses= 209846272 	AMAT= 0.714809
array_size= 1048576 	STRIDE= 16 	nano= 161584992.000000 	 numberOfAccesses= 209780736 	AMAT= 0.770257
array_size= 1048576 	STRIDE= 32 	nano= 266465995.000000 	 numberOfAccesses= 209747968 	AMAT= 1.270410
array_size= 1048576 	STRIDE= 64 	nano= 526602349.000000 	 numberOfAccesses= 209731584 	AMAT= 2.510840
array_size= 1048576 	STRIDE= 128 	nano= 562733064.000000 	 numberOfAccesses= 209723392 	AMAT= 2.683216
array_size= 1048576 	STRIDE= 256 	nano= 594839169.000000 	 numberOfAccesses= 209719296 	AMAT= 2.836359
array_size= 1048576 	STRIDE= 512 	nano= 507031289.000000 	 numberOfAccesses= 209717248 	AMAT= 2.417690
array_size= 1048576 	STRIDE= 1024 	nano= 791593760.000000 	 numberOfAccesses= 209716224 	AMAT= 3.774595
array_size= 1048576 	STRIDE= 2048 	nano= 1036141603.000000 	 numberOfAccesses= 209715712 	AMAT= 4.940696
array_size= 1048576 	STRIDE= 4096 	nano= 1627816342.000000 	 numberOfAccesses= 209715456 	AMAT= 7.762024
array_size= 1048576 	STRIDE= 8192 	nano= 1651718064.000000 	 numberOfAccesses= 209715328 	AMAT= 7.876001
array_size= 1048576 	STRIDE= 16384 	nano= 1633721203.000000 	 numberOfAccesses= 209715264 	AMAT= 7.790187
array_size= 1048576 	STRIDE= 32768 	nano= 1534481834.000000 	 numberOfAccesses= 209715232 	AMAT= 7.316978
array_size= 1048576 	STRIDE= 65536 	nano= 1043192516.000000 	 numberOfAccesses= 209715216 	AMAT= 4.974329
array_size= 1048576 	STRIDE= 131072 	nano= 388131526.000000 	 numberOfAccesses= 209715208 	AMAT= 1.850755
array_size= 1048576 	STRIDE= 262144 	nano= 206676857.000000 	 numberOfAccesses= 209715204 	AMAT= 0.985512
array_size= 1048576 	STRIDE= 524288 	nano= 225173037.000000 	 numberOfAccesses= 209715202 	AMAT= 1.073709
